SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J141649.10+001621.0,214.20463,0.27252,0.144,11.01(0.13),17.629(0.008),17.195(0.007),23.75(0.19),24.52(0.28),-2.63(0.22) 
J141655.59-011036.3,214.23165,-1.17673,0.138,11.05(0.14),17.356(0.008),16.931(0.006),22.93(0.13),22.49(0.10),-2.23(0.21) 
J141658.10+011229.4,214.24214,1.20818,0.129,11.33(0.12),16.787(0.006),16.301(0.005),22.13(0.09),21.58(0.07),-2.13(0.21) 
J141718.36-013636.2,214.32652,-1.61008,0.128,11.24(0.12),17.055(0.007),16.650(0.005),22.61(0.11),23.13(0.16),-2.37(0.21) 
J141719.92-003305.3,214.33303,-0.55148,0.139,11.17(0.14),17.116(0.007),16.643(0.005),22.15(0.08),22.06(0.08),-2.09(0.21) 
J141738.77-001618.0,214.41156,-0.27168,0.148,11.58(0.09),16.683(0.005),16.246(0.004),21.28(0.05),20.95(0.05),-1.86(0.20) 
J141749.37+431554.0,214.45575,43.26500,0.137,11.25(0.10),17.124(0.007),16.718(0.006),23.70(0.17),23.24(0.16),-2.62(0.22) 
J141751.51+432505.7,214.46469,43.41826,0.107,11.57(0.11),15.747(0.004),15.345(0.003),21.52(0.06),21.20(0.05),-2.33(0.21) 
J141754.19+432316.9,214.47584,43.38805,0.106,11.66(0.12),15.491(0.003),15.086(0.003),20.77(0.04),20.39(0.04),-2.12(0.21) 
J141755.64-000958.7,214.48187,-0.16632,0.125,11.10(0.17),17.385(0.008),16.872(0.006),22.35(0.09),22.35(0.08),-2.08(0.21) 
J141812.72+003720.2,214.55300,0.62229,0.118,11.11(0.16),17.121(0.007),16.646(0.005),22.21(0.08),21.76(0.06),-2.04(0.21) 
J141813.41+443003.0,214.55587,44.50085,0.141,11.12(0.11),17.447(0.008),17.029(0.007),24.05(0.23),23.67(0.21),-2.65(0.22) 
J141818.56-015047.3,214.57734,-1.84647,0.126,11.07(0.13),17.452(0.008),17.010(0.007),22.88(0.13),23.89(0.18),-2.37(0.21) 
J141827.65-003645.5,214.61523,-0.61264,0.140,11.31(0.12),17.041(0.006),16.604(0.005),21.44(0.06),21.62(0.06),-1.87(0.20) 
J141834.08+440245.6,214.64202,44.04601,0.108,11.25(0.13),16.332(0.005),15.919(0.004),22.04(0.08),21.75(0.07),-2.31(0.21) 
J141840.07+442226.8,214.66699,44.37413,0.141,11.17(0.12),17.138(0.007),16.724(0.006),23.96(0.21),22.33(0.11),-2.42(0.21) 
J141847.65-011055.1,214.69857,-1.18196,0.082,11.30(0.15),16.311(0.005),15.861(0.004),22.77(0.12),22.06(0.08),-2.53(0.22) 
J141855.67+530631.0,214.73197,53.10864,0.115,11.18(0.13),16.615(0.005),16.255(0.004),22.49(0.11),22.48(0.11),-2.42(0.21) 
J141858.57+434325.8,214.74408,43.72385,0.146,11.10(0.11),17.372(0.008),17.031(0.006),24.04(0.20),22.81(0.11),-2.46(0.22) 
J141918.14+424027.2,214.82565,42.67423,0.130,11.58(0.11),15.942(0.004),15.546(0.003),22.47(0.09),22.01(0.08),-2.60(0.22) 
J141921.95+430957.2,214.84146,43.16590,0.103,11.17(0.12),16.389(0.005),15.975(0.004),21.56(0.06),21.24(0.05),-2.09(0.21) 
J141934.63-001925.1,214.89431,-0.32363,0.132,11.14(0.11),17.222(0.007),16.754(0.006),22.68(0.11),23.28(0.15),-2.35(0.21) 
J142017.42+430346.1,215.07263,43.06282,0.136,11.71(0.13),16.041(0.004),15.618(0.003),23.26(0.13),22.68(0.10),-2.86(0.22) 
J142027.82+421747.9,215.11594,42.29666,0.124,11.02(0.19),17.110(0.007),16.728(0.006),22.51(0.10),22.16(0.10),-2.17(0.21) 
J142030.11+430403.1,215.12548,43.06756,0.103,11.14(0.15),16.634(0.005),16.237(0.004),19.11(0.02),18.76(0.01),-1.04(0.09) 
J142034.82-003550.0,215.14509,-0.59723,0.139,11.30(0.10),16.849(0.006),16.383(0.005),22.73(0.11),22.74(0.11),-2.44(0.21) 
J142040.24+003723.4,215.16772,0.62317,0.146,11.27(0.12),17.134(0.007),16.652(0.005),22.75(0.12),23.10(0.14),-2.38(0.21) 
J142049.50+432033.3,215.20630,43.34258,0.136,11.33(0.11),16.768(0.006),16.336(0.005),21.16(0.05),20.87(0.04),-1.79(0.20) 
J142116.65+432922.1,215.31941,43.48948,0.106,11.28(0.14),16.429(0.005),15.987(0.004),22.56(0.10),22.12(0.09),-2.45(0.22) 
J142123.43+434915.0,215.34763,43.82082,0.134,11.59(0.09),16.341(0.005),15.909(0.004),22.33(0.09),21.95(0.08),-2.41(0.21) 
J142138.51+443706.4,215.41048,44.61845,0.093,11.25(0.14),16.226(0.004),15.814(0.004),22.13(0.10),23.43(0.27),-2.58(0.22) 
J142147.93+421940.2,215.44976,42.32786,0.135,11.70(0.14),16.109(0.004),15.705(0.004),23.48(0.16),23.25(0.17),-2.98(0.22) 
J142156.47+420927.9,215.48532,42.15779,0.135,11.03(0.12),17.474(0.008),17.046(0.007),24.47(0.28),23.57(0.17),-2.70(0.22) 
J142157.76+444140.0,215.49068,44.69447,0.070,11.11(0.12),15.647(0.003),15.245(0.003),20.20(0.03),20.49(0.05),-1.94(0.20) 
J142208.63-000257.9,215.53599,-0.04942,0.126,11.03(0.13),17.177(0.007),16.743(0.006),22.85(0.12),22.64(0.11),-2.31(0.21) 
J142232.52+433422.3,215.63550,43.57286,0.135,11.13(0.12),17.047(0.006),16.672(0.005),23.59(0.17),24.25(0.24),-2.78(0.22) 
J142239.06+011441.1,215.66278,1.24477,0.119,11.09(0.12),17.278(0.007),16.811(0.006),24.49(0.26),23.65(0.17),-2.81(0.22) 
J142248.57+432652.1,215.70240,43.44782,0.107,11.08(0.12),16.652(0.005),16.222(0.004),23.26(0.14),24.96(0.34),-2.89(0.22) 
J142306.26+014722.7,215.77613,1.78966,0.111,11.67(0.10),15.541(0.003),15.008(0.003),21.38(0.07),21.31(0.06),-2.42(0.21) 
J142307.44+440405.6,215.78102,44.06824,0.131,11.10(0.14),17.431(0.008),17.020(0.006),23.54(0.16),23.59(0.19),-2.53(0.22) 
J142311.65-015218.6,215.79855,-1.87184,0.127,11.62(0.11),15.965(0.004),15.545(0.003),21.79(0.08),21.55(0.07),-2.37(0.21) 
J142315.10-001305.1,215.81296,-0.21808,0.139,11.39(0.14),16.762(0.006),16.301(0.005),22.36(0.09),22.21(0.09),-2.30(0.21) 
J142317.54+015117.6,215.82310,1.85493,0.111,11.04(0.11),16.988(0.006),16.498(0.005),24.21(0.30),22.52(0.11),-2.59(0.22) 
J142317.62+001516.3,215.82346,0.25452,0.140,11.10(0.13),17.165(0.007),16.709(0.006),23.48(0.15),22.57(0.10),-2.43(0.21) 
J142320.71+001221.4,215.83634,0.20598,0.140,11.34(0.14),16.955(0.006),16.492(0.005),23.33(0.16),22.36(0.09),-2.44(0.21) 
J142323.11-014323.1,215.84629,-1.72312,0.092,11.30(0.19),16.434(0.005),15.972(0.004),21.26(0.06),21.58(0.07),-2.06(0.21) 
J142340.85+015746.9,215.92022,1.96302,0.134,11.23(0.13),16.897(0.006),16.418(0.005),24.01(0.27),23.18(0.15),-2.77(0.22) 
J142351.60+441809.2,215.96504,44.30259,0.134,11.26(0.15),16.754(0.006),16.363(0.005),21.44(0.06),21.16(0.05),-1.90(0.20) 
J142428.32+434309.4,216.11802,43.71929,0.149,11.00(0.14),17.458(0.008),17.084(0.007),22.52(0.09),22.11(0.08),-2.02(0.21) 
J142438.01-010547.2,216.15839,-1.09644,0.138,11.03(0.16),17.459(0.008),17.003(0.006),24.31(0.26),23.30(0.15),-2.62(0.22) 
J142439.03+443635.5,216.16264,44.60989,0.093,11.15(0.17),16.141(0.004),15.791(0.004),19.96(0.03),19.64(0.03),-1.55(0.18) 
J142453.75-004134.6,216.22399,-0.69298,0.137,11.21(0.15),16.979(0.006),16.565(0.005),21.02(0.05),20.69(0.04),-1.64(0.19) 
J142455.90-015727.9,216.23295,-1.95776,0.146,11.26(0.14),17.146(0.007),16.741(0.006),25.28(0.48),99.00(99.00),-3.63(0.22) 
J142457.12+002331.7,216.23803,0.39216,0.134,11.01(0.13),17.516(0.008),17.094(0.007),99.00(99.00),23.80(0.18),-3.02(0.22) 
J142459.36+430323.2,216.24737,43.05647,0.136,11.17(0.10),17.171(0.007),16.769(0.006),24.27(0.21),23.98(0.20),-2.86(0.22) 
J142503.22+001542.7,216.26346,0.26187,0.135,11.38(0.12),17.073(0.007),16.608(0.005),22.30(0.09),21.60(0.06),-2.05(0.21) 
J142525.08+430620.5,216.35457,43.10572,0.136,11.17(0.13),17.034(0.006),16.636(0.005),22.76(0.11),22.39(0.10),-2.30(0.21) 
J142605.42-000854.4,216.52260,-0.14842,0.129,11.15(0.20),17.144(0.007),16.692(0.005),22.79(0.11),22.76(0.10),-2.34(0.21) 
J142616.34+005015.3,216.56809,0.83761,0.125,11.81(0.10),15.546(0.003),15.109(0.003),19.17(0.02),18.98(0.02),-1.51(0.18) 
J142632.02+435228.2,216.63343,43.87452,0.148,11.31(0.12),16.946(0.006),16.558(0.005),22.20(0.08),22.24(0.09),-2.18(0.21) 
J142632.55-013519.1,216.63566,-1.58866,0.139,11.04(0.16),17.098(0.007),16.787(0.006),20.60(0.04),21.80(0.07),-1.62(0.19) 
J142639.70+005059.4,216.66542,0.84986,0.145,11.20(0.14),17.254(0.007),16.807(0.006),22.34(0.10),23.03(0.12),-2.21(0.21) 
J142640.80-014303.8,216.67005,-1.71772,0.139,11.18(0.12),17.550(0.008),17.105(0.007),23.48(0.16),24.60(0.32),-2.58(0.22) 
J142640.94+004635.2,216.67060,0.77645,0.124,11.12(0.12),17.504(0.008),17.048(0.006),24.03(0.20),23.45(0.14),-2.59(0.22) 
J142654.50+420837.2,216.72711,42.14369,0.145,11.25(0.12),16.976(0.007),16.605(0.005),23.20(0.16),22.19(0.11),-2.34(0.21) 
J142702.80+001727.5,216.76167,0.29099,0.128,11.11(0.12),17.253(0.007),16.775(0.006),24.24(0.25),23.62(0.16),-2.77(0.22) 
J142716.81+420423.1,216.82007,42.07310,0.140,11.65(0.10),16.129(0.004),15.772(0.004),22.17(0.10),21.78(0.08),-2.41(0.21) 
J142722.81+003300.8,216.84506,0.55024,0.131,11.28(0.12),16.854(0.006),16.409(0.005),21.17(0.05),20.79(0.04),-1.75(0.19) 
J142729.31-021129.0,216.87215,-2.19138,0.139,11.59(0.10),16.501(0.005),15.990(0.004),21.50(0.08),20.21(0.04),-1.82(0.20) 
J142733.79+012943.9,216.89077,1.49556,0.144,11.32(0.11),17.246(0.007),16.779(0.006),22.66(0.12),22.23(0.08),-2.17(0.21) 
J142736.45+423711.4,216.90191,42.61984,0.143,11.37(0.12),16.845(0.006),16.446(0.005),22.17(0.08),22.37(0.09),-2.24(0.21) 
J142749.80+425722.1,216.95754,42.95616,0.129,11.01(0.12),17.572(0.008),17.136(0.007),22.90(0.12),22.86(0.12),-2.21(0.21) 
J142808.74+020733.4,217.03644,2.12595,0.130,11.08(0.17),17.093(0.007),16.632(0.005),20.92(0.05),20.53(0.04),-1.56(0.18) 
J142818.61+014806.5,217.07758,1.80181,0.119,11.01(0.14),17.047(0.007),16.634(0.005),22.63(0.13),22.44(0.10),-2.28(0.21) 
J142820.57+440419.9,217.08576,44.07221,0.096,11.05(0.13),16.534(0.005),16.133(0.004),22.91(0.12),22.27(0.10),-2.50(0.22) 
J142824.64+435300.5,217.10270,43.88348,0.149,11.05(0.15),17.468(0.008),17.079(0.007),99.00(99.00),24.24(0.23),-3.18(0.22) 
J142828.33-022645.1,217.11806,-2.44590,0.145,11.75(0.11),16.098(0.004),15.645(0.003),21.33(0.07),20.92(0.06),-2.10(0.21) 
J142853.93+420655.1,217.22473,42.11533,0.140,11.12(0.13),17.395(0.008),17.007(0.007),24.07(0.23),25.66(0.90),-2.91(0.22) 
J142904.37+431909.4,217.26826,43.31926,0.123,11.13(0.12),16.859(0.006),16.497(0.005),21.53(0.06),22.25(0.10),-2.04(0.21) 
J142914.30+430124.0,217.30962,43.02333,0.125,11.23(0.12),16.705(0.006),16.289(0.005),21.54(0.06),21.25(0.06),-1.96(0.20) 
J142920.00-005130.1,217.33337,-0.85838,0.132,11.20(0.12),16.923(0.006),16.509(0.005),21.63(0.06),21.31(0.05),-1.91(0.20) 
J142921.51+005732.6,217.33966,0.95906,0.139,11.23(0.14),17.100(0.007),16.691(0.006),22.55(0.10),22.97(0.12),-2.32(0.21) 
J142924.83+432601.2,217.35347,43.43372,0.130,11.56(0.16),16.497(0.005),16.087(0.004),19.89(0.02),19.89(0.03),-1.45(0.17) 
J142945.31-002541.7,217.43879,-0.42827,0.136,11.52(0.11),16.373(0.005),15.908(0.004),23.14(0.15),23.05(0.13),-2.78(0.22) 
J142958.93+425426.2,217.49557,42.90729,0.128,11.24(0.13),16.620(0.005),16.212(0.004),22.09(0.09),21.93(0.08),-2.24(0.21) 
J143001.48+433911.4,217.50620,43.65316,0.122,11.19(0.11),16.935(0.006),16.532(0.005),23.07(0.13),22.96(0.13),-2.51(0.22) 
J143014.13+425437.8,217.55888,42.91052,0.127,11.19(0.12),17.218(0.007),16.753(0.006),22.97(0.14),23.02(0.15),-2.39(0.21) 
J143035.27+443825.4,217.64701,44.64035,0.093,11.41(0.18),15.813(0.004),15.366(0.003),19.33(0.02),19.37(0.02),-1.51(0.18) 
J143045.40+012534.8,217.68918,1.42640,0.117,11.26(0.11),16.580(0.005),16.164(0.004),21.64(0.07),21.19(0.05),-2.02(0.21) 
J143050.18-014243.4,217.70911,-1.71206,0.122,11.29(0.10),16.555(0.005),16.139(0.004),22.11(0.09),22.23(0.10),-2.32(0.21) 
J143110.62+431451.1,217.79423,43.24755,0.124,11.10(0.13),17.138(0.007),16.727(0.006),22.99(0.12),23.14(0.14),-2.44(0.21) 
J143121.98-013949.8,217.84164,-1.66384,0.092,11.01(0.17),16.512(0.005),16.070(0.004),21.88(0.08),21.54(0.07),-2.17(0.21) 
J143135.93-000956.0,217.89975,-0.16559,0.123,11.19(0.11),16.900(0.006),16.490(0.005),21.64(0.07),21.68(0.06),-1.98(0.21) 
J143154.19+003056.5,217.97585,0.51572,0.131,11.47(0.12),16.347(0.005),15.934(0.004),22.33(0.09),22.27(0.08),-2.46(0.22) 
J143156.22-002057.8,217.98430,-0.34941,0.137,11.09(0.09),17.537(0.008),17.133(0.007),25.82(0.64),23.83(0.19),-2.89(0.22) 
J143204.32-001858.2,218.01802,-0.31618,0.105,11.16(0.14),16.555(0.005),16.123(0.004),22.16(0.08),21.88(0.07),-2.27(0.21) 
J143205.01+423854.2,218.02091,42.64842,0.097,11.30(0.16),16.096(0.004),15.688(0.003),21.38(0.05),21.10(0.05),-2.14(0.21) 
J143207.54-000754.3,218.03144,-0.13175,0.124,11.17(0.16),16.722(0.006),16.291(0.005),22.58(0.11),22.79(0.11),-2.45(0.22) 
J143218.72-000222.2,218.07804,-0.03949,0.131,11.58(0.13),16.575(0.005),16.120(0.004),19.64(0.02),19.47(0.02),-1.30(0.15) 
J143227.81+012102.8,218.11588,1.35080,0.139,11.33(0.12),17.085(0.007),16.638(0.005),22.08(0.10),22.12(0.08),-2.09(0.21) 
J143236.53-002632.3,218.15222,-0.44233,0.104,11.00(0.11),17.009(0.006),16.555(0.005),23.27(0.14),23.60(0.16),-2.64(0.22) 
J143239.98+432416.5,218.16660,43.40460,0.146,11.12(0.17),17.403(0.008),16.949(0.006),22.93(0.13),22.22(0.10),-2.16(0.21) 
J143242.73+014124.8,218.17806,1.69024,0.139,11.61(0.11),16.201(0.004),15.731(0.004),23.16(0.18),22.81(0.12),-2.81(0.22) 
J143248.72+020442.0,218.20304,2.07834,0.112,11.29(0.14),15.943(0.004),15.502(0.003),20.04(0.03),19.87(0.03),-1.70(0.19) 
J143304.13+430921.1,218.26721,43.15587,0.071,11.05(0.16),16.123(0.004),15.740(0.004),20.63(0.04),20.38(0.04),-1.83(0.20) 
J143331.99-001641.4,218.38332,-0.27817,0.123,11.18(0.16),17.673(0.009),17.183(0.007),21.99(0.08),21.77(0.07),-1.78(0.20) 
J143338.24+002038.0,218.40937,0.34388,0.125,11.05(0.14),17.103(0.007),16.690(0.005),23.17(0.14),22.73(0.11),-2.42(0.21) 
J143341.42+432124.5,218.42261,43.35683,0.130,11.28(0.20),17.615(0.009),17.162(0.007),22.63(0.11),21.79(0.07),-1.93(0.20) 
J143346.20+004202.9,218.44251,0.70082,0.128,11.09(0.17),16.783(0.006),16.412(0.005),21.49(0.06),21.27(0.05),-1.92(0.20) 
J143412.02+013351.8,218.55011,1.56439,0.135,11.01(0.12),17.452(0.008),17.010(0.006),23.13(0.14),24.29(0.26),-2.49(0.22) 
J143427.60+013640.9,218.61504,1.61137,0.138,11.18(0.11),17.072(0.007),16.692(0.006),25.52(0.57),22.73(0.12),-2.67(0.22) 
J143435.43+013906.6,218.64763,1.65185,0.138,11.11(0.11),17.377(0.008),16.899(0.006),23.04(0.14),22.80(0.11),-2.31(0.21) 
J143441.71-002122.4,218.67382,-0.35621,0.123,11.11(0.13),16.797(0.006),16.377(0.005),21.94(0.08),21.96(0.08),-2.14(0.21) 
J143453.00+004916.6,218.72088,0.82129,0.128,11.32(0.16),16.553(0.005),16.138(0.004),22.12(0.09),21.82(0.07),-2.25(0.21) 
J143508.37+443957.2,218.78491,44.66593,0.129,11.36(0.17),16.460(0.005),15.989(0.004),20.66(0.04),20.19(0.04),-1.69(0.19) 
J143539.47+004149.2,218.91446,0.69701,0.108,11.11(0.13),17.060(0.007),16.645(0.005),22.13(0.09),22.25(0.09),-2.12(0.21) 
J143555.54-001438.0,218.98144,-0.24390,0.139,11.14(0.13),17.442(0.008),17.009(0.006),23.26(0.14),23.61(0.17),-2.46(0.22) 
J143602.85-010711.4,219.01191,-1.11985,0.106,11.03(0.11),17.090(0.007),16.665(0.005),23.59(0.18),22.85(0.12),-2.53(0.22) 
J143609.54+035349.1,219.03977,3.89700,0.075,11.02(0.11),16.267(0.005),15.851(0.004),21.98(0.08),22.13(0.09),-2.39(0.21) 
J143622.87-021609.0,219.09530,-2.26919,0.132,11.02(0.14),17.355(0.008),16.926(0.006),23.39(0.16),24.22(0.28),-2.60(0.22) 
J143644.67+031231.1,219.18616,3.20867,0.132,11.06(0.13),17.566(0.008),17.098(0.007),22.88(0.13),22.47(0.11),-2.14(0.21) 
J143650.94+002657.0,219.21226,0.44917,0.137,11.44(0.13),17.161(0.007),16.733(0.006),22.88(0.12),24.84(0.33),-2.55(0.22) 
J143656.60+022650.7,219.23589,2.44747,0.098,11.21(0.12),16.249(0.005),15.857(0.004),22.10(0.09),21.58(0.07),-2.32(0.21) 
J143726.05+014007.3,219.35860,1.66869,0.138,11.09(0.11),17.659(0.009),17.208(0.007),23.63(0.18),24.22(0.24),-2.55(0.22) 
J143730.18+033836.8,219.37575,3.64356,0.145,11.20(0.13),17.409(0.008),16.950(0.006),23.16(0.14),22.81(0.14),-2.32(0.21) 
J143732.63+040801.5,219.38598,4.13376,0.115,11.54(0.13),16.103(0.004),15.570(0.003),19.74(0.03),20.24(0.04),-1.63(0.19) 
J143734.44+024623.1,219.39355,2.77312,0.131,11.45(0.10),16.495(0.005),16.039(0.004),21.31(0.06),21.14(0.05),-1.98(0.21) 
J143741.74-001318.7,219.42395,-0.22189,0.138,11.11(0.11),17.632(0.009),17.219(0.007),23.58(0.17),24.57(0.26),-2.57(0.22) 
J143741.76-005515.3,219.42401,-0.92095,0.148,11.47(0.15),16.850(0.006),16.418(0.005),21.53(0.06),21.68(0.07),-1.98(0.21) 
J143750.38-001206.8,219.45994,-0.20191,0.145,11.16(0.12),17.288(0.007),16.902(0.006),22.27(0.09),23.57(0.17),-2.22(0.21) 
J143807.52-021405.7,219.53138,-2.23492,0.088,11.37(0.14),15.788(0.004),15.390(0.003),21.99(0.09),21.18(0.07),-2.39(0.21) 
J143816.71+024416.9,219.56968,2.73807,0.098,11.19(0.10),16.295(0.005),15.854(0.004),24.08(0.22),22.66(0.11),-2.88(0.22) 
J143819.74+002231.4,219.58229,0.37542,0.139,11.14(0.15),17.531(0.008),17.081(0.007),23.68(0.18),22.29(0.09),-2.23(0.21) 
J143820.78+023311.3,219.58661,2.55318,0.145,11.06(0.14),17.453(0.008),16.997(0.006),22.25(0.09),21.98(0.08),-1.96(0.20) 
J143820.95+034439.8,219.58733,3.74441,0.147,11.31(0.11),16.959(0.006),16.536(0.005),22.91(0.13),24.11(0.23),-2.59(0.22) 
J143827.04+034301.1,219.61272,3.71698,0.146,11.48(0.11),16.472(0.005),16.057(0.004),21.85(0.07),21.42(0.06),-2.15(0.21) 
J143831.83+441549.1,219.63268,44.26362,0.119,11.10(0.17),16.810(0.006),16.400(0.005),21.69(0.07),21.50(0.07),-2.00(0.21) 
J143853.95-014622.7,219.72481,-1.77296,0.135,11.29(0.10),16.878(0.006),16.473(0.005),22.06(0.08),22.53(0.12),-2.22(0.21) 
J143902.30+431902.0,219.75963,43.31725,0.119,11.01(0.12),17.117(0.007),16.675(0.005),24.10(0.21),23.00(0.14),-2.64(0.22) 
J143903.21-005902.6,219.76343,-0.98405,0.145,11.31(0.13),16.605(0.005),16.200(0.004),20.59(0.04),20.44(0.03),-1.65(0.19) 
J143913.27+424600.9,219.80531,42.76693,0.101,11.12(0.11),16.697(0.006),16.271(0.005),22.13(0.08),22.30(0.10),-2.28(0.21) 
J143928.02-015451.5,219.86678,-1.91433,0.134,11.40(0.14),16.655(0.005),16.242(0.004),21.96(0.08),21.28(0.06),-2.07(0.21) 
J143928.78+024607.4,219.86994,2.76877,0.144,11.90(0.13),15.863(0.004),15.418(0.003),19.44(0.02),19.05(0.02),-1.46(0.17) 
J143935.49+010054.0,219.89787,1.01504,0.133,11.24(0.11),16.836(0.006),16.432(0.005),21.72(0.06),21.49(0.06),-1.99(0.21) 
J143956.07+444838.5,219.98369,44.81071,0.120,11.14(0.11),16.940(0.006),16.482(0.005),24.35(0.31),23.89(0.30),-2.96(0.22) 
J144001.02-011805.0,220.00425,-1.30141,0.115,11.18(0.14),16.781(0.006),16.372(0.005),21.73(0.07),21.53(0.06),-2.02(0.21) 
J144005.62+015706.9,220.02341,1.95194,0.136,11.32(0.13),16.799(0.006),16.321(0.005),23.07(0.13),24.44(0.26),-2.74(0.22) 
J144029.96+031401.4,220.12484,3.23373,0.127,11.11(0.13),16.704(0.006),16.306(0.005),23.65(0.16),23.22(0.14),-2.77(0.22) 
J144046.92-014151.5,220.19550,-1.69763,0.132,11.87(0.11),15.620(0.003),15.204(0.003),20.28(0.03),20.22(0.03),-1.93(0.20) 
J144059.41+003341.6,220.24757,0.56158,0.109,11.27(0.13),16.126(0.004),15.730(0.004),21.09(0.05),21.44(0.06),-2.11(0.21) 
J144102.65+021349.1,220.26107,2.23033,0.137,11.13(0.15),17.610(0.008),17.164(0.007),22.63(0.10),22.06(0.08),-1.99(0.21) 
J144103.60+020953.9,220.26502,2.16500,0.136,11.18(0.16),17.172(0.007),16.720(0.006),21.86(0.07),21.28(0.05),-1.85(0.20) 
J144111.77+031706.5,220.29907,3.28516,0.129,11.09(0.17),17.518(0.008),17.021(0.006),22.39(0.09),22.16(0.09),-2.00(0.21) 
J144129.00+000138.0,220.37083,0.02725,0.150,11.52(0.14),16.871(0.006),16.419(0.005),22.21(0.09),21.31(0.06),-2.04(0.21) 
J144138.26+440815.5,220.40943,44.13766,0.110,11.14(0.11),16.783(0.006),16.368(0.005),22.47(0.10),22.18(0.09),-2.30(0.21) 
J144144.62-004937.1,220.43592,-0.82699,0.143,11.62(0.15),16.690(0.006),16.214(0.004),21.85(0.07),22.12(0.08),-2.19(0.21) 
J144147.32+025919.4,220.44718,2.98874,0.084,11.18(0.14),16.170(0.004),15.695(0.003),21.47(0.07),21.22(0.06),-2.17(0.21) 
J144156.24-004951.4,220.48434,-0.83096,0.143,11.29(0.14),17.272(0.007),16.845(0.006),23.05(0.12),22.83(0.11),-2.35(0.21) 
J144203.53+023108.8,220.51475,2.51912,0.134,11.13(0.15),17.129(0.007),16.688(0.005),22.28(0.08),21.16(0.05),-1.91(0.20) 
J144214.87-001250.4,220.56200,-0.21401,0.149,11.28(0.13),16.987(0.006),16.571(0.005),21.94(0.07),21.74(0.07),-2.03(0.21) 
J144215.38-001141.9,220.56407,-0.19498,0.149,11.31(0.15),16.872(0.006),16.440(0.005),21.92(0.07),22.34(0.09),-2.16(0.21) 
J144226.56+022435.3,220.61068,2.40982,0.142,11.29(0.12),17.057(0.007),16.601(0.005),22.17(0.08),22.95(0.14),-2.23(0.21) 
J144236.91-004623.0,220.65380,-0.77308,0.109,11.13(0.16),16.976(0.006),16.539(0.005),23.17(0.13),23.06(0.13),-2.54(0.22) 
J144244.35+031145.4,220.68481,3.19596,0.142,11.33(0.15),17.605(0.008),17.157(0.007),23.70(0.17),23.58(0.20),-2.50(0.22) 
J144253.19-002257.4,220.72166,-0.38264,0.142,11.54(0.14),16.580(0.005),16.161(0.004),21.27(0.05),20.78(0.04),-1.87(0.20) 
J144256.86-002850.2,220.73694,-0.48064,0.148,11.40(0.15),17.238(0.007),16.777(0.006),23.60(0.17),22.42(0.10),-2.38(0.21) 
J144306.14+024335.6,220.77563,2.72657,0.140,11.35(0.13),16.935(0.006),16.457(0.005),23.24(0.13),22.08(0.08),-2.37(0.21) 
J144306.59+022406.9,220.77749,2.40195,0.139,12.10(0.11),15.261(0.003),14.825(0.002),19.79(0.02),19.44(0.02),-1.83(0.20) 
J144324.58+032120.9,220.85243,3.35582,0.096,11.26(0.16),15.941(0.004),15.506(0.003),19.85(0.03),19.49(0.02),-1.59(0.18) 
J144340.74+440239.1,220.91978,44.04424,0.147,11.38(0.15),16.954(0.006),16.630(0.005),23.85(0.19),22.97(0.12),-2.63(0.22) 
J144342.44+033058.6,220.92682,3.51631,0.116,11.02(0.15),17.602(0.008),17.258(0.007),23.04(0.12),23.35(0.18),-2.29(0.21) 
J144344.44+433333.7,220.93518,43.55937,0.134,11.05(0.11),17.527(0.008),17.079(0.007),22.75(0.11),23.11(0.14),-2.22(0.21) 
J144352.70-005406.6,220.96959,-0.90185,0.144,11.41(0.12),17.075(0.007),16.638(0.005),22.89(0.12),22.90(0.12),-2.41(0.21) 
J144354.48-010052.7,220.97704,-1.01467,0.143,11.21(0.13),17.395(0.008),16.967(0.006),23.70(0.18),23.21(0.14),-2.51(0.22) 
J144412.36+034651.3,221.05152,3.78092,0.094,11.12(0.13),16.461(0.005),16.018(0.004),22.36(0.10),22.54(0.13),-2.47(0.22) 
J144413.38+023639.0,221.05580,2.61084,0.142,11.14(0.12),17.496(0.008),17.029(0.007),23.68(0.19),23.29(0.16),-2.49(0.22) 
J144418.47-010618.3,221.07697,-1.10511,0.148,11.44(0.11),16.567(0.005),16.168(0.004),21.96(0.08),21.86(0.07),-2.21(0.21) 
J144419.43-012707.3,221.08095,-1.45205,0.150,11.17(0.14),17.380(0.008),16.974(0.006),22.05(0.08),21.59(0.07),-1.86(0.20) 
J144442.27+030057.2,221.17614,3.01593,0.148,11.25(0.12),16.833(0.006),16.386(0.005),20.80(0.04),20.34(0.03),-1.59(0.18) 
J144443.23+030538.7,221.18014,3.09411,0.127,11.11(0.13),17.254(0.007),16.770(0.006),23.53(0.15),22.54(0.11),-2.40(0.21) 
J144509.89+031023.9,221.29126,3.17334,0.127,11.35(0.19),17.296(0.007),16.790(0.006),22.30(0.08),21.49(0.07),-1.94(0.20) 
J144515.16+434311.6,221.31321,43.71989,0.128,11.03(0.10),17.337(0.007),16.918(0.006),99.00(99.00),24.77(0.29),-3.46(0.22) 
