SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J012352.30+001856.0,20.96795,0.31558,0.095,11.12(0.14),16.428(0.005),15.989(0.004),21.86(0.08),21.80(0.08),-2.24(0.21) 
J012422.83+010659.3,21.09514,1.11651,0.134,11.38(0.16),16.645(0.005),16.194(0.004),21.40(0.06),21.18(0.06),-1.95(0.20) 
J012435.29-004716.3,21.14707,-0.78787,0.134,11.47(0.18),17.335(0.008),16.828(0.006),22.88(0.14),22.08(0.09),-2.16(0.21) 
J012454.45+011235.4,21.22688,1.20986,0.119,11.09(0.12),16.926(0.006),16.487(0.005),22.64(0.10),22.56(0.11),-2.35(0.21) 
J012516.89-010145.6,21.32041,-1.02933,0.135,11.28(0.10),17.011(0.006),16.539(0.005),23.39(0.15),22.72(0.14),-2.51(0.22) 
J012528.23-001526.8,21.36762,-0.25747,0.118,11.22(0.11),16.666(0.005),16.232(0.004),22.26(0.09),22.20(0.09),-2.31(0.21) 
J012540.03+003230.9,21.41680,0.54194,0.079,11.03(0.11),16.190(0.004),15.749(0.004),23.78(0.19),23.33(0.17),-3.03(0.22) 
J012623.86+005840.3,21.59942,0.97789,0.135,11.60(0.11),16.185(0.004),15.741(0.004),20.67(0.04),20.49(0.04),-1.85(0.20) 
J012626.43+005728.6,21.61013,0.95797,0.135,11.15(0.13),17.132(0.007),16.680(0.006),21.91(0.07),22.14(0.10),-2.03(0.21) 
J012647.41+003554.0,21.69757,0.59835,0.120,11.26(0.16),17.083(0.024),16.548(0.005),22.55(1.78),21.91(0.08),-2.17(0.21) 
J012826.19+002557.8,22.10913,0.43278,0.137,11.47(0.12),16.504(0.005),16.073(0.004),22.95(0.13),22.42(0.11),-2.56(0.22) 
J012955.80+010901.2,22.48253,1.15037,0.123,11.34(0.12),16.634(0.005),16.231(0.004),23.09(0.13),22.76(0.12),-2.60(0.22) 
J013038.17+000653.6,22.65906,0.11490,0.080,11.22(0.12),15.617(0.003),15.251(0.003),22.35(0.09),21.88(0.08),-2.67(0.22) 
J013106.18+010041.4,22.77577,1.01154,0.080,11.09(0.12),16.193(0.004),15.787(0.004),22.61(0.11),22.95(0.15),-2.69(0.22) 
J013236.91+000207.7,23.15379,0.03549,0.077,11.29(0.10),15.432(0.003),15.059(0.003),21.96(0.07),21.32(0.07),-2.55(0.22) 
J013244.58+002729.0,23.18576,0.45808,0.115,11.07(0.12),16.825(0.006),16.444(0.005),23.81(0.17),23.00(0.15),-2.70(0.22) 
J013246.15+011439.4,23.19232,1.24430,0.127,11.04(0.14),17.106(0.007),16.792(0.006),23.81(0.17),21.97(0.09),-2.28(0.21) 
J013248.72+010316.1,23.20300,1.05451,0.135,11.44(0.12),16.147(0.004),15.802(0.004),21.56(0.06),20.88(0.06),-2.10(0.21) 
J013251.34+011306.4,23.21390,1.21847,0.145,11.17(0.18),17.148(0.007),16.721(0.006),21.18(0.05),20.98(0.06),-1.66(0.19) 
J013251.62-003440.7,23.21510,-0.57796,0.094,11.48(0.10),15.357(0.003),15.003(0.003),21.32(0.06),20.51(0.05),-2.29(0.21) 
J013254.73+005833.6,23.22806,0.97602,0.133,11.67(0.09),15.791(0.004),15.490(0.003),20.09(0.03),19.66(0.03),-1.70(0.19) 
J013301.89-005718.0,23.25787,-0.95498,0.094,11.02(0.14),16.753(0.006),16.327(0.005),21.82(0.08),21.90(0.10),-2.12(0.21) 
J013302.48+005904.7,23.26034,0.98468,0.136,11.06(0.14),17.290(0.007),16.970(0.007),23.13(0.15),24.26(0.33),-2.54(0.22) 
J013307.47+005313.4,23.28112,0.88708,0.123,11.01(0.21),17.217(0.007),16.856(0.006),22.09(0.08),22.14(0.11),-2.03(0.21) 
J013323.99-003309.4,23.34997,-0.55260,0.079,11.14(0.10),16.007(0.004),15.583(0.003),21.97(0.08),21.97(0.10),-2.46(0.22) 
J013326.54+003309.2,23.36060,0.55259,0.137,11.14(0.10),17.337(0.008),16.921(0.006),23.10(0.13),23.14(0.18),-2.39(0.21) 
J013328.34-002638.3,23.36810,-0.44397,0.135,11.14(0.13),16.995(0.006),16.652(0.006),21.95(0.07),21.32(0.07),-1.93(0.20) 
J013336.78-003142.7,23.40323,-0.52853,0.128,11.46(0.10),16.336(0.005),15.965(0.004),22.04(0.08),21.52(0.08),-2.25(0.21) 
J013423.90-002212.9,23.59956,-0.37026,0.127,11.12(0.11),16.957(0.006),16.582(0.005),21.86(0.07),21.37(0.07),-1.94(0.20) 
J013502.05-010052.3,23.75855,-1.01454,0.080,11.05(0.10),16.305(0.005),15.940(0.004),22.88(0.14),20.98(0.07),-2.23(0.21) 
J013522.37+000630.8,23.84318,0.10857,0.135,11.31(0.14),17.103(0.007),16.766(0.006),21.50(0.06),21.41(0.08),-1.81(0.20) 
J013547.95+000003.0,23.94983,0.00085,0.123,11.15(0.15),17.015(0.006),16.640(0.005),21.26(0.05),20.79(0.05),-1.69(0.19) 
J013555.67+003329.9,23.98195,0.55832,0.135,11.42(0.12),16.447(0.005),16.055(0.004),21.22(0.06),21.35(0.09),-2.01(0.21) 
J013853.23+003250.5,24.72176,0.54736,0.149,11.19(0.10),17.082(0.007),16.685(0.006),22.97(0.13),22.02(0.11),-2.23(0.21) 
J013857.67+002528.8,24.74028,0.42467,0.124,11.27(0.13),16.307(0.005),15.956(0.004),21.59(0.06),20.46(0.04),-1.94(0.20) 
J014014.90+002442.4,25.06211,0.41179,0.135,11.13(0.20),16.865(0.006),16.508(0.005),21.30(0.05),21.15(0.07),-1.82(0.20) 
J014036.45-000237.0,25.15191,-0.04361,0.080,11.07(0.13),16.246(0.004),15.889(0.004),22.40(0.10),21.88(0.10),-2.43(0.21) 
J014049.15+000526.1,25.20482,0.09062,0.084,11.52(0.18),15.917(0.004),15.457(0.003),19.86(0.03),19.39(0.02),-1.59(0.18) 
J014054.05-001320.2,25.22524,-0.22226,0.149,11.12(0.12),17.393(0.008),17.032(0.007),22.39(0.11),21.62(0.09),-1.91(0.20) 
J014112.99+000746.1,25.30416,0.12950,0.146,11.16(0.14),17.261(0.007),16.906(0.006),22.68(0.11),23.36(0.20),-2.33(0.21) 
J014347.61-003310.2,25.94840,-0.55286,0.148,11.27(0.14),17.160(0.007),16.765(0.006),22.90(0.14),22.49(0.13),-2.30(0.21) 
J014418.13+002231.9,26.07554,0.37558,0.112,11.30(0.11),16.626(0.005),16.211(0.005),24.23(0.24),99.00(99.00),-3.38(0.22) 
J014443.49+002703.6,26.18122,0.45103,0.084,11.43(0.13),15.835(0.004),15.423(0.003),21.62(0.07),21.15(0.06),-2.30(0.21) 
J014624.06-010522.7,26.60025,-1.08963,0.142,11.42(0.13),16.124(0.004),15.783(0.004),21.10(0.06),21.33(0.07),-2.09(0.21) 
J014629.73+005716.9,26.62390,0.95472,0.078,11.48(0.11),15.297(0.003),14.892(0.002),21.95(0.07),20.39(0.05),-2.37(0.21) 
J014814.18+010746.7,27.05910,1.12965,0.108,11.61(0.08),15.527(0.003),15.146(0.003),19.89(0.03),19.41(0.03),-1.73(0.19) 
J014821.41+004657.9,27.08921,0.78277,0.143,11.02(0.20),17.190(0.007),16.763(0.006),23.06(0.12),23.33(0.20),-2.47(0.22) 
J015001.97-000136.1,27.50824,-0.02666,0.141,11.02(0.18),17.131(0.007),16.804(0.006),22.76(0.11),21.81(0.09),-2.11(0.21) 
J015007.15-005114.2,27.52982,-0.85394,0.125,11.38(0.16),16.659(0.006),16.311(0.005),22.69(0.12),24.36(0.42),-2.65(0.22) 
J015007.90+001313.3,27.53291,0.22040,0.091,11.30(0.18),15.720(0.003),15.347(0.003),21.95(0.07),21.34(0.07),-2.44(0.21) 
J015012.99+000504.8,27.55416,0.08470,0.127,11.00(0.18),16.599(0.005),16.310(0.005),20.32(0.03),19.85(0.03),-1.47(0.17) 
